id_velho;id_novo
311852;50
311853;51
311878;53
332799;52
519006;16724
311899;54
311930;58
311960;61
312007;62
332806;56
527217;16578
311851;49
311926;57
311940;60
312048;63
411951;947
510348;2249
534407;16681
312068;64
312069;65
312088;66
332805;55
517715;16543
543721;16369
312100;67
312130;68
473587;1611
528850;16346
311939;59
312154;69
312160;70
312195;71
312290;72
312297;73
312364;74
312371;75
312427;76
312436;77
427412;1038
312455;78
312604;83
312627;84
312558;81
312577;82
312646;79
312775;86
312782;87
312896;88
312823;80
312907;90
312924;92
312956;93
312926;89
312957;94
313003;98
391510;755
312629;85
312982;95
312990;96
313002;97
313012;99
313026;101
313035;102
332837;91
313038;103
313046;104
313064;105
313075;106
313110;108
313180;112
313101;107
313157;109
313169;111
313215;114
313226;115
313202;113
313248;116
313277;118
313249;117
313369;123
313370;124
313019;100
313168;110
313301;119
313303;120
313381;125
313399;128
313388;126
313389;127
313491;131
313545;134
313471;130
313522;133
313671;136
313724;137
313781;138
313351;121
313558;135
313856;141
313901;144
313934;145
313834;140
313870;142
314030;147
314034;148
313353;122
314112;149
314126;151
313517;132
313783;139
313872;143
314004;146
314382;156
314416;157
314460;159
314125;150
314253;153
314353;155
314538;160
314562;161
314689;166
314223;152
314575;164
314805;169
314819;171
314828;172
314275;154
314452;158
314572;162
314843;173
314800;167
314809;170
314907;177
314801;168
314849;174
314988;179
315122;182
315136;184
314581;165
314862;175
314867;176
314993;180
315118;181
315135;183
315140;185
315154;186
315219;189
315230;191
315251;192
315375;197
315205;188
315356;195
315363;196
315400;199
315715;202
315221;190
315330;194
315390;198
315795;204
316135;207
315159;187
315463;200
315749;203
315991;206
316232;208
316273;209
316326;210
315847;205
315856;201
316449;211
315317;193
316688;213
316693;214
316753;216
314924;178
316566;212
316723;215
316760;217
316801;219
316832;220
332843;163
332850;218
316859;221
316863;222
316931;224
316946;225
316913;223
316969;227
316963;226
317035;230
317038;231
317045;233
317054;235
317033;229
317064;236
317202;238
317203;239
317274;240
317066;237
317340;242
317581;244
317592;245
317642;248
316972;228
317041;232
317280;241
317638;247
317856;251
317867;253
318004;255
317593;246
317790;249
317860;252
318205;256
318367;258
317885;254
318419;259
318449;261
318541;262
486908;2134
317389;243
318231;257
318554;263
318575;264
318634;269
318578;265
318616;268
318648;270
318698;272
318615;267
318796;273
318801;275
318827;277
317049;234
318437;260
318579;266
318677;271
318770;274
318802;276
318932;282
319024;284
319038;285
318851;280
318984;283
319071;287
319134;288
319166;290
319170;291
319181;292
318852;281
319139;289
319222;293
319228;295
318836;278
319039;286
319275;296
319369;300
411444;941
319282;298
319402;301
319409;303
319411;304
319278;297
319485;308
319488;309
319502;310
319506;311
318839;279
319367;299
319408;302
319434;305
319586;313
319686;315
319462;307
319696;316
319773;320
319778;321
319780;322
319520;312
319756;319
319837;326
319841;328
319895;329
319910;330
319442;306
319619;314
319790;323
319839;327
319931;331
319993;334
320018;336
320086;337
319731;317
319791;324
319985;333
320017;335
320260;341
320275;342
319735;318
319792;325
320215;338
320239;339
320340;345
320353;347
317795;250
319961;332
320240;340
320280;343
320347;346
320375;348
320405;350
320439;353
320545;354
320424;351
320635;356
320729;359
320748;360
320786;361
320427;352
320805;362
321009;368
321045;371
321368;372
320392;349
320818;363
320825;364
320961;367
321498;376
321503;377
321504;378
320333;344
320677;357
320924;366
321024;369
321879;380
321928;381
322115;382
320678;358
320923;365
321845;379
322382;384
322527;386
322581;387
322929;391
320547;355
321462;374
321482;375
322290;383
322942;392
322979;393
323140;394
332858;389
353995;592
353996;593
353997;594
322501;385
322600;388
323391;396
323497;398
323959;400
324389;401
324546;404
322828;390
324543;403
325463;407
326365;408
327909;411
321461;373
323328;395
324410;402
327600;410
328815;413
329694;414
361097;644
323405;397
324568;405
325314;406
328628;412
330733;416
330956;417
330982;419
323602;399
330528;415
331107;420
331268;421
319227;294
327261;409
330960;418
332073;425
332074;426
332295;428
332344;429
332686;432
333112;435
333413;436
334069;440
334875;447
348810;541
406237;887
332035;424
332077;427
333789;437
334339;444
334411;445
334943;448
334973;449
336257;455
336268;456
336477;457
336925;459
337203;460
332417;431
335545;453
335721;454
337348;462
337349;463
337736;465
337755;466
337973;469
338322;471
338800;475
339008;476
340419;481
341173;486
341684;489
342100;490
342403;493
331552;422
331625;423
334128;441
334700;446
335156;450
335251;451
337412;464
337821;467
338330;472
338465;473
338768;474
339105;477
339354;478
341447;487
342699;495
344540;506
345659;510
345663;511
345708;512
345789;514
346036;516
346085;517
346142;518
346402;519
349637;548
333804;438
336844;458
337984;470
340479;482
342506;494
343341;498
343888;501
343944;502
344454;504
347166;523
347737;525
348054;528
348109;532
348153;533
348389;535
348680;538
348708;539
348932;543
349952;550
350215;553
350279;555
350280;556
